gene,k,pooled_effect,se_hk,p_hk,tau2,I2_percent,prediction_low,prediction_high,max_weight,studies,BH_q
LNX1,4,0.31632814526249403,0.46018733757607844,0.541211104342163,0.10003974709037472,0.0,-1.4607543533453604,2.0934106438703486,0.4622393452831714,GSE193021;GSE226411;GSE55867;GSE255574,0.9999227012193477
IER3,5,-0.32564646903055167,0.4881690996706841,0.5412331834212827,0.0,37.06507306393604,-1.6810211763200362,1.029728238258933,0.4346665685706056,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
MRPS17,5,-0.31277620754638613,0.46895366380617337,0.5412971738023165,0.20593786681029014,16.134877283629717,-2.12461758433865,1.499065169245878,0.3911455485176733,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
MVB12B,4,0.2739830837432877,0.39880651696361374,0.5414209443707881,0.0,0.0,-0.9951972426906293,1.5431634101772047,0.4645638198713019,GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
CEP290,5,-0.2794936065718862,0.41922661753770724,0.5414570988648666,0.0,0.0,-1.4434532968030809,0.8844660836593083,0.3477294241370477,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
FANCB,3,-0.35449113126523896,0.4857998341192085,0.541461543247401,0.0,0.0,-2.444719113650087,1.7357368511196092,0.6292804481483321,GSE193021;GSE288678;GSE55867,0.9999227012193477
CAP2,5,-0.2843034134473305,0.4264907411733395,0.5415018301739121,0.0,0.0,-1.468431544190228,0.8998247172955669,0.5074035599233254,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
OAZ2,5,0.25822318312020665,0.3874212376840996,0.5415554918965227,0.0,0.0,-0.8174306158974824,1.3338769821378957,0.44076941028437955,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
SERPINA1,3,-0.4109820127300823,0.5634181094645089,0.5415916115315013,0.2372007898012744,15.95262171798654,-3.615348527751017,2.793384502290852,0.5544123140014169,GSE193021;GSE226411;GSE55867,0.9999227012193477
ZNF398,5,0.2685352133018133,0.40293487879790485,0.5415956737089159,0.0,0.0,-0.8501913586500958,1.3872617852537223,0.47602027684370907,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
B3GALT4,4,0.3496282351623567,0.5095051587570382,0.5418580410239121,0.0,0.0,-1.2718445748469682,1.9711010451716817,0.7351134716425519,GSE193021;GSE288678;GSE55867;GSE255574,0.9999227012193477
PEAK1,5,0.31957696159443905,0.47989957953175405,0.5418974986140587,0.0,28.13855552842895,-1.0128378769829787,1.6519918001718568,0.4964257679867062,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
DPH7,4,-0.2719436559693549,0.39637273871913703,0.5419298495028427,0.0,0.0,-1.533378613821257,0.9894913018825473,0.46870628577444273,GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
C3,4,0.7772220589390789,1.1332159077416364,0.5420536533874896,2.217460020417202,50.16826226317801,-5.177983100147686,6.732427218025843,0.4225430572111865,GSE193021;GSE226411;GSE55867;GSE255574,0.9999227012193477
CLN3,4,0.3021295348555733,0.4405249457987814,0.5420621378400391,0.0,0.0,-1.0998174512870642,1.7040765209982107,0.544415594611567,GSE193021;GSE226411;GSE55867;GSE255574,0.9999227012193477
PYCARD,5,-0.40245813868286767,0.6046645914383323,0.5420910404012986,0.5567884317271283,29.833031032632064,-3.0690131705116217,2.2640968931458865,0.3987265218714641,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
SNX32,3,0.4862029617443016,0.6677911325898042,0.5422709063779253,0.4458200782392709,14.819243006699914,-3.5769345910794508,4.549340514568054,0.5675824193777408,GSE193021;GSE55867;GSE255574,0.9999227012193477
GEMIN4,5,0.3913670686778278,0.5883103179484193,0.5422928807041806,0.671262576935297,35.95779656400882,-2.409089861320309,3.1918239986759644,0.3071447269072669,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
MGAT5B,3,-0.5097376438507846,0.7001710603370394,0.5422995671008268,0.49619588936296566,11.459466834272641,-4.783108861638504,3.763633573936935,0.5880010782088484,GSE193021;GSE55867;GSE255574,0.9999227012193477
IGFBP4,5,-0.2617390263435623,0.39347845634896533,0.5423196493417932,0.0,0.0,-1.3542103604744309,0.8307323077873062,0.46257329199268443,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
GALK1,5,0.3212654639369991,0.48299882872722005,0.5423457712241693,0.24533416955109794,18.541200350902642,-1.5995490872936542,2.2420800151676525,0.36599864767858076,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
BMT2,3,0.43545512399721853,0.5982344871281966,0.5423583758673597,0.0,0.0,-2.138540125075186,3.009450373069623,0.4586337269723756,GSE226411;GSE288678;GSE255574,0.9999227012193477
GPR35,3,-0.3529333685209876,0.48491705099575677,0.5423972739254582,0.0,0.0,-2.4393630416899397,1.7334963046479643,0.5191998207042176,GSE193021;GSE55867;GSE255574,0.9999227012193477
GSDMD,5,-0.26521166728475315,0.39887520167307583,0.5424892452742173,0.0,0.0,-1.3726667685547471,0.8422434339852409,0.47688018702896373,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
CNTNAP2,3,0.41759043412554275,0.5739415916026287,0.5425159085801248,0.0,0.0,-2.0518809217002585,2.887061789951344,0.9146686031992224,GSE193021;GSE55867;GSE255574,0.9999227012193477
SEMA4A,3,0.4129128145352546,0.5675201447210082,0.542520710020239,0.0,0.0,-2.028929285336401,2.8547549144069104,0.7703107789143825,GSE193021;GSE55867;GSE255574,0.9999227012193477
KBTBD3,4,0.2934733586066595,0.42849586818985874,0.5425830302458088,0.0,0.0,-1.070191733943491,1.6571384511568101,0.498836945621133,GSE193021;GSE226411;GSE55867;GSE255574,0.9999227012193477
CRMP1,4,-0.2517470863983503,0.36767327622277196,0.5426867611293339,0.0,0.0,-1.421847545865067,0.9183533730683665,0.3638010521290039,GSE193021;GSE226411;GSE288678;GSE55867,0.9999227012193477
ACSL5,4,0.3944234561480596,0.5760691999153873,0.5426991653513438,0.5887977998417582,43.8453349942794,-2.6591557853631453,3.4480026976592644,0.3314294041544994,GSE193021;GSE226411;GSE55867;GSE255574,0.9999227012193477
MPST,5,-0.2745751051486335,0.41321589346606297,0.5427290358588321,0.004464499937642421,0.0,-1.436748313017942,0.8875981027206749,0.49639885054512617,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
SERPINA3,3,0.3356096821783682,0.4616758247713434,0.54283694635028,0.0,0.0,-1.6508210655333868,2.322040429890123,0.61543891019805,GSE193021;GSE55867;GSE255574,0.9999227012193477
USP48,5,0.25076158829636175,0.3775001739298448,0.5428529310691176,0.0,0.0,-0.7973469218224715,1.298870098415195,0.4259335817609767,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
BCLAF3,4,0.2721218878369918,0.3977280038180931,0.5429685130066908,0.0,0.0,-0.9936261284217629,1.5378699040957464,0.4744305749116106,GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
KIAA1586,5,-0.2826591999960058,0.42599822252598674,0.5432842157979587,0.0,0.0,-1.465419879751242,0.9001014797592306,0.29141740220582424,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
HMGB3,5,-0.3472394292822657,0.5233878869008604,0.5433283194554526,0.12231709673307904,0.0,-2.0949713252455053,1.4004924666809742,0.5994005985695664,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
CACUL1,5,0.29110680389379207,0.4388046742371622,0.5433497256663355,0.0,0.0,-0.9272102860298892,1.5094238938174733,0.5747806407224259,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
PLAUR,5,-0.5436976155487888,0.8195651782516968,0.5433560624820206,1.0101135328611635,41.853373816670434,-4.144309781522894,3.056914550425317,0.3857308164329853,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
RPL17,4,-0.4047338954667738,0.592242109187011,0.5434077489792065,0.4609877764537635,28.235838417860958,-3.2720076219239225,2.4625398309903748,0.4339402885087168,GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
UFSP1,5,-0.22883899085988674,0.34502596142145386,0.5434404975852873,0.0,0.0,-1.186784632614645,0.7291066508948716,0.351266970756516,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
CAMK2A,3,-0.3379183398004483,0.46566436927262356,0.5434683861256028,0.043286017671497326,0.0,-2.532394919129301,1.8565582395284044,0.5686171174680739,GSE193021;GSE55867;GSE255574,0.9999227012193477
VMP1,4,-0.5474274490659934,0.8012275153423389,0.5434939891148345,1.4936551552646504,60.47558312239509,-5.198179051715329,4.103324153583342,0.3343713757372775,GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
ATL1,5,-0.24362858581536026,0.36738851040014486,0.5435071830776899,0.0,0.0,-1.263662617221751,0.7764054455910306,0.40412860455364635,GSE193021;GSE226411;GSE288678;GSE55867;GSE255574,0.9999227012193477
NOG,4,-0.301973995740507,0.44200562437975416,0.5435190722491086,0.0,0.0,-1.708633161962474,1.10468517048146,0.488180253084049,GSE193021;GSE288678;GSE55867;GSE255574,0.9999227012193477
